#{"t_start": 1789588117.2260764, "env_id": "None"}
r,l,t
-139.554958,2,5194.196376
226.366942,121,5201.809632
-241.553499,1,5202.073613
128.562158,29,5203.843392
158.898416,85,5210.844629
205.267732,118,5218.635946
157.336748,57,5222.011505
181.32306,147,5232.040066
-23.985809,103,5237.929304
-100.207625,1,5238.162061
141.603768,36,5240.340688
193.567988,88,5246.485302
216.61841,120,5254.778753
-100.270092,8,5255.398683
138.902225,43,5259.529553
164.680249,75,5264.171798
169.022287,68,5268.397396
175.927389,73,5272.920397
144.017827,49,5275.978064
233.864204,143,5284.926597
207.339155,94,5291.201362
-154.648464,2,5293.356603
233.857537,125,5301.09226
-96.718046,5,5301.944152
230.677649,114,5308.805518
-106.300819,61,5313.123213
179.243329,98,5319.537534
190.471298,74,5324.37964
186.044577,100,5330.498353
-99.948685,1,5331.8223
246.11077,172,5341.770768
124.866792,39,5344.247873
130.598273,71,5350.303788
191.137484,85,5355.157892
189.587556,74,5359.988571
-43.499373,94,5365.682164
131.891274,103,5372.882446
-164.836615,1,5373.084022
206.026827,119,5380.368229
-139.699246,33,5384.291982
-80.066652,46,5387.508557
-97.854688,17,5390.538354
173.728704,65,5395.772348
161.044816,51,5400.35907
-143.843567,15,5403.253371
-81.780704,76,5407.999583
-82.020936,50,5411.052395
156.884792,49,5414.148212
-37.881634,112,5421.51163
-100.286114,1,5421.852499
-93.319049,24,5424.073247
-99.73888,1,5425.719056
-100.060595,1,5427.820981
-43.852689,64,5433.522404
-100.153684,1,5433.640351
203.377359,82,5438.85526
140.805976,45,5442.185476
104.849261,13,5443.063764
180.82515,67,5447.245977
-99.594353,1,5447.432216
165.955566,65,5452.04492
155.486096,52,5455.344897
213.441519,72,5459.855267
180.601921,92,5465.317531
-95.095741,34,5467.352701
220.092369,95,5473.018869
-81.72094,72,5477.12549
113.687083,31,5479.527316
-188.392723,3,5481.726529
-99.396022,1,5482.129278
102.283442,96,5488.023187
-99.855823,73,5492.653577
225.205028,104,5498.935572
-38.391517,107,5505.75825
-93.086987,11,5507.113878
-100.079215,1,5507.831254
172.806495,65,5511.764821
208.202052,94,5518.046563
-100.054604,1,5518.444244
144.067044,51,5521.379117
219.17008,117,5529.885102
